,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
0,"first of all, traditional skills and ways belong to value of culture.",Claim,12,"[CLS] first of all, traditional skills and ways belong to value of culture.",15,15,1
1,"first, studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures.",Claim,25,"[CLS] first, studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures.",28,28,1
2,"secondly, having a larger proportion of young adults could enhance the working effectiveness and efficiency.",Premise,15,"[CLS] secondly, having a larger proportion of young adults could enhance the working effectiveness and efficiency.",18,18,0
3,"when children are allowed to play around with computer from a very early age, they get acquainted with the previously mentioned skills and become expert before facing professional world.",Premise,29,"[CLS] when children are allowed to play around with computer from a very early age, they get acquainted with the previously mentioned skills and become expert before facing professional world.",32,32,0
4,"apart from the disheartened ones, many devoiding of neccessary preparations are likely to be recipes for failure when applying for jobs, mostly the white-collar ones.",Premise,25,"[CLS] apart from the disheartened ones, many devoiding of neccessary preparations are likely to be recipes for failure when applying for jobs, mostly the white-collar ones.",38,38,0
5,thus they spend a lot of money to buy a lot of beauty products or go to gym to get better appearance or body.,Premise,24,[CLS] thus they spend a lot of money to buy a lot of beauty products or go to gym to get better appearance or body.,26,26,0
6,"i personally disagree with this notion that these types of communication, telephones and email, made people less personal.",MajorClaim,18,"[CLS] i personally disagree with this notion that these types of communication, telephones and email, made people less personal.",23,23,3
7,doing sports or hobbies for a short time can recharge our batteries.,Premise,12,[CLS] doing sports or hobbies for a short time can recharge our batteries.,17,17,0
8,"as a fact that the criminal is repeated second time; also, it is regarded as the ""legalized revenge"" to victims' family.",Premise,21,"[CLS] as a fact that the criminal is repeated second time; also, it is regarded as the ""legalized revenge"" to victims' family.",29,29,0
9,"to sum up, it is evident for me that people choose to become vegetarians for health and religious concern rather than the benefits of animals.",MajorClaim,25,"[CLS] to sum up, it is evident for me that people choose to become vegetarians for health and religious concern rather than the benefits of animals.",29,29,3
10,"secondly, the image of a healthy nation can be promoted when government restricts public smoking by imposing stern penalty to the offender.",Claim,22,"[CLS] secondly, the image of a healthy nation can be promoted when government restricts public smoking by imposing stern penalty to the offender.",26,26,1
11,i was in the management information system department.,None,8,[CLS] i was in the management information system department.,10,10,2
12,"in a nutshell, i believe that young adults should only consider living on their own only after they are sure they could sustain on their own.",Claim,26,"[CLS] in a nutshell, i believe that young adults should only consider living on their own only after they are sure they could sustain on their own.",30,30,1
13,"many other practices like, equestrian sport where horses run miles and miles and beaten up by jockeys to make them run more faster.",Premise,23,"[CLS] many other practices like, equestrian sport where horses run miles and miles and beaten up by jockeys to make them run more faster.",27,27,0
