,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
0,"also, this improvement will decrease a bad traffic on the road indirectly.",Claim,12,"[CLS] also, this improvement will decrease a bad traffic on the road indirectly.",15,15,1
1,"moreover, even when people watch television together, there is no chance for them to have conversation in front of television.",Claim,20,"[CLS] moreover, even when people watch television together, there is no chance for them to have conversation in front of television.",24,24,1
2,"many countries have suffered from pollution, noisy and casualty for a long time.",None,13,"[CLS] many countries have suffered from pollution, noisy and casualty for a long time.",16,16,2
3,"with this advancement, newspapers and magazines are struggling to justify their existence.",None,12,"[CLS] with this advancement, newspapers and magazines are struggling to justify their existence.",15,15,2
4,but i think ronaldo make a goal from a penalty-kick with more possibility than me.,Premise,15,[CLS] but i think ronaldo make a goal from a penalty-kick with more possibility than me.,20,20,0
5,"to conclude, i want to say that it is very important to be confident of the information, which you use, especially when your conclusion or decision may have a great influence.",MajorClaim,31,"[CLS] to conclude, i want to say that it is very important to be confident of the information, which you use, especially when your conclusion or decision may have a great influence.",36,36,3
6,"according to myself, both ways are good, but i prefer the latter.",None,12,"[CLS] according to myself, both ways are good, but i prefer the latter.",16,16,2
7,"for example, via skype people not just communicate with their family members and friends, but also make interviews for employment, enrolment into universities.",Premise,23,"[CLS] for example, via skype people not just communicate with their family members and friends, but also make interviews for employment, enrolment into universities.",31,31,0
8,"therefore, to make use of time, if the students choose the classes as optional, it would provide more benefits than drawbacks.",MajorClaim,21,"[CLS] therefore, to make use of time, if the students choose the classes as optional, it would provide more benefits than drawbacks.",27,27,3
9,"to start with, since technology was introduced, student have been exposed to a wide range of information, which neccessarily broaden their minds.",Claim,22,"[CLS] to start with, since technology was introduced, student have been exposed to a wide range of information, which neccessarily broaden their minds.",31,31,1
10,"for example, i have my personal experience.",None,7,"[CLS] for example, i have my personal experience.",10,10,2
11,"moreover, parents are usually too busy with their daily jobs to teach their children the life skills.",Premise,17,"[CLS] moreover, parents are usually too busy with their daily jobs to teach their children the life skills.",20,20,0
12,"some people, however, still believe that they can exist for long time; others disagree, arguing that newspapers have lost their competitive advantage to sustain their prolonged existence.",MajorClaim,27,"[CLS] some people, however, still believe that they can exist for long time; others disagree, arguing that newspapers have lost their competitive advantage to sustain their prolonged existence.",33,33,3
13,"the reason is that, as most of the telecommunication companies provide us with access to the internet via our phones, people are able to enjoy sending instant messages and making international calls free of charge.",Premise,35,"[CLS] the reason is that, as most of the telecommunication companies provide us with access to the internet via our phones, people are able to enjoy sending instant messages and making international calls free of charge.",39,39,0
14,"overall, it is easy to distinguish between a child having two languages and a child having just his native language while comparing their ability to communicate, understanding other studies, etc, to find that why children should start learning a foreign language in the beginning of the education.",MajorClaim,47,"[CLS] overall, it is easy to distinguish between a child having two languages and a child having just his native language while comparing their ability to communicate, understanding other studies, etc, to find that why children should start learning a foreign language in the beginning of the education.",53,53,3
15,university students have different opinion about their attendance to class.,None,10,[CLS] university students have different opinion about their attendance to class.,12,12,2
16,"in contrast, manual harvest prevents severe environmental damages.",Premise,8,"[CLS] in contrast, manual harvest prevents severe environmental damages.",11,11,0
17,"if not, you might lose another chance that you could use to accomplish other things.",None,15,"[CLS] if not, you might lose another chance that you could use to accomplish other things.",18,18,2
18,"the fact is that the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged.",Premise,20,"[CLS] the fact is that the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged.",25,25,0
